"Country","Country_class","Year","AMR","Region_Level1","Region_class","Strategic_vision","Multi_sector_engagement","Sustainability","Accountability","AMC_surveillance_system","AMR_surveillance_system","Optimization_antimicrobial","Professional_education","Public_awareness","Hygiene_prevention","Research_innovation","Reporting","Policy_adjustment","Effectiveness","AMC_human","GDP_per_capita","CHE_per_capita","People_using_at_least_basic_drinking_water_services","Population_density","Government_Effectiveness"
4,44,2021,3.910195641,"European Region",3,79.22051887,75.88630807,32.24431818,100,86.11584327,48.41827768,50.01899736,25,47.98578199,66.10951941,100,100,0,44.38505286,27.13217202,33734.29297,2990,99.76513248,142.5659091,0.697915256
5,45,2017,5.393261865,"European Region",3,27.33372642,66.07579462,31.73295455,0,79.17376491,44.39806678,46.50395778,50,13.98104265,45.01487985,100,79.68397291,53.60902256,30.19049042,18.5,20913.19763,1525.3479,99.88026044,137.2158788,1.03059423
5,45,2018,4.886396119,"European Region",3,27.33372642,41.96210269,31.73295455,0,86.11584327,44.39806678,46.50395778,50,13.98104265,40.71728281,100,79.68397291,53.60902256,30.19049042,18.6,23705.93298,1753.198975,99.88035845,137.6755343,0.951154172
5,45,2019,5.582316282,"European Region",3,55.27240566,58.03789731,69.34659091,75.52664188,86.11584327,45.73813708,47.75725594,50,15.99526066,45.01487985,100,79.68397291,53.60902256,30.19049042,18.80141289,24062.719,1803.05249,99.88046889,138.2268103,0.919642746
5,45,2020,6.554927846,"European Region",3,44.72759434,41.96210269,31.98863636,75.52664188,86.11584327,44.39806678,46.50395778,50,22.98578199,45.01487985,100,79.68397291,53.60902256,30.19049042,18.99914548,23472.89155,2119.268311,99.88058826,138.5759288,0.910964906
5,45,2021,6.992134099,"European Region",3,55.27240566,41.96210269,31.98863636,75.52664188,100,45.73813708,40.63324538,50,22.98578199,45.01487985,100,79.68397291,53.60902256,41.87251806,19.19687806,27696.46195,2498.516602,99.8807193,136.1083491,1.069740176
6,49,2017,-0.072645525,"European Region",3,89.76533019,75.88630807,69.60227273,100,100,53.77855888,70.25065963,83.95721925,63.98104265,94.54713494,78.97033159,59.36794582,53.60902256,75.44204975,16.2,57521.5515,5834,99.99999994,144.1245,1.746830583
6,49,2018,0.199379914,"European Region",3,89.76533019,83.92420538,69.60227273,100,100,53.77855888,78.62796834,83.95721925,63.98104265,94.54713494,78.97033159,59.36794582,53.60902256,78.47200367,15.6,61324.7665,6233,100,144.8409,1.810602069
6,49,2019,-0.206609056,"European Region",3,89.76533019,83.92420538,69.60227273,100,100,53.77855888,78.62796834,83.95721925,63.98104265,94.54713494,78.97033159,59.36794582,53.60902256,78.47200367,15.18374347,59404.26632,6059,100,145.36055,1.87326777
6,49,2020,0.290118203,"European Region",3,89.76533019,83.92420538,100,100,100,53.77855888,75.24643799,91.97860963,50,55.53937153,78.97033159,59.36794582,26.9924812,81.804081,14.76748694,60985.48856,6442,99.99999671,145.7851,1.840067387
6,49,2021,0.900591132,"European Region",3,79.22051887,75.88630807,62.64204545,100,100,53.77855888,75.24643799,83.95721925,63.98104265,55.53937153,78.97033159,100,53.60902256,77.76414244,14.35123042,69727.98737,7382,99.99999983,146.418325,1.959734082
7,55,2017,7.612051635,"European Region",3,72.37146226,83.92420538,69.34659091,75.52664188,55.19591141,40.33391916,82.12401055,75,45.97156398,51.85998152,100,59.36794582,53.60902256,69.25687547,27.4,28367.93926,2524.684814,99.92628444,93.27091015,1.001258492
7,55,2018,10.4422097,"European Region",3,72.37146226,100,69.09090909,75.52664188,55.19591141,43.03602812,83.37730871,100,63.98104265,50.94704251,100,59.36794582,53.60902256,78.9165306,26.9,30592.12648,2741.382568,99.92605643,93.66979208,0.96924603
7,55,2019,12.94851282,"European Region",3,82.60613208,100,99.74431818,75.52664188,77.59795571,40.37785589,64.37994723,100,63.98104265,93.77310536,100,59.36794582,53.60902256,72.06221198,26.9,29776.20115,2716.833496,99.92583827,94.3508089,0.96880877
7,55,2020,13.9444378,"European Region",3,82.60613208,91.96210269,99.48863636,75.52664188,100,48.41827768,52.37467018,83.02139037,63.98104265,45.15942699,100,59.36794582,53.60902256,72.52828176,26.9,27230.35999,2899.018799,99.92560976,94.81538375,0.853928566
7,55,2021,15.13649887,"European Region",3,82.60613208,91.96210269,99.74431818,75.52664188,100,47.07820738,74.33509235,83.02139037,81.99052133,45.15942699,100,59.36794582,53.60902256,82.2695836,26.9,30817.68286,3234.292969,99.92538111,94.8822088,0.907896876
8,57,2017,0.026373013,"African Region",4,65.21226415,50,100,0,77.59795571,25.52724077,42.87598945,33.02139037,34.47867299,69.50064695,100,59.36794582,40.11278195,40.69582764,9.9,745.6324492,24.51061249,44.40849742,97.17443526,-0.75925535
8,57,2018,-1.267045407,"African Region",4,65.21226415,50,100,0,77.59795571,25.52724077,42.87598945,33.02139037,34.47867299,69.50064695,100,79.68397291,40.11278195,40.69582764,10.1,747.9681436,23.84538269,45.83816087,99.82988254,-0.666894257
8,57,2019,-2.184046126,"African Region",4,54.97759434,50,99.74431818,0,70.65587734,33.6115993,35.75197889,50,34.47867299,61.59916821,100,100,40.11278195,37.56196402,10.38888889,828.7089723,26.22917175,47.25397856,102.5521595,-0.661420763
8,57,2020,-2.527049666,"African Region",4,54.97759434,58.03789731,100,0,70.65587734,37.65377856,49.33509235,75,61.492891,48.51829945,100,100,53.60902256,55.92035448,10.67777778,905.3131758,28.69671059,48.65534768,105.3700909,-0.589582562
8,57,2021,-1.727309086,"African Region",4,100,91.96210269,100,100,70.65587734,34.97363796,54.76833773,50,34.47867299,10.91728281,100,100,53.60902256,37.17276882,10.96666667,910.9478403,26.47735214,50.04256282,108.2240681,-0.650382698
9,60,2017,2.830489462,"European Region",3,89.76533019,66.07579462,69.34659091,100,55.19591141,74.20913884,76.36781003,100,45.97156398,70.24029575,100,59.36794582,40.11278195,75.75719113,27.5,38687.16264,4410.599121,100,122.2119706,1.308906794
9,60,2018,2.622401685,"European Region",3,89.76533019,66.07579462,69.34659091,100,48.25383305,68.82688928,84.74511873,91.97860963,31.99052133,70.24029575,100,79.68397291,40.11278195,69.69728329,27.1,41418.17665,4666.97998,99.9999994,122.6508802,1.419718504
9,60,2019,3.132715918,"European Region",3,89.76533019,66.07579462,69.34659091,100,41.31175468,71.50702988,84.74511873,91.97860963,31.99052133,70.24029575,100,79.68397291,40.11278195,64.07516348,27.30774406,40408.28486,4504.484863,100,123.0594459,1.33822
9,60,2020,3.11675907,"European Region",3,100,66.07579462,99.74431818,100,48.25383305,76.88927944,84.74511873,91.97860963,31.99052133,70.24029575,100,79.68397291,40.11278195,75.75719113,27.48480178,39169.8606,4755.44043,99.99999807,123.4594937,1.204251051
9,60,2021,3.575538733,"European Region",3,100,66.07579462,99.74431818,100,93.05792164,76.88927944,84.74511873,100,45.97156398,73.74048059,100,79.68397291,76.80451128,87.4842274,27.6357059,43725.09995,5380.875,100,123.9009108,1.228540301
10,63,2017,0.449992449,"European Region",3,82.9009434,100,69.34659091,75.52664188,55.19591141,43.05799649,72.62532982,83.02139037,36.96682464,46.43909427,100,79.68397291,40.11278195,66.43090758,19.1,40572.12148,3910.814209,100,273.049473,1.430928707
10,63,2018,-0.148244347,"European Region",3,82.9009434,100,100,75.52664188,100,40.35588752,73.87862797,83.02139037,47.98578199,46.2655268,100,79.68397291,40.11278195,79.73735919,18,43203.81411,4226.205078,100,274.7089819,1.361698747
10,63,2019,1.344547928,"European Region",3,89.76533019,100,100,75.52664188,100,40.35588752,73.87862797,75,47.98578199,47.03955638,100,79.68397291,40.11278195,79.73735919,18,42662.53537,4268.677246,99.99999734,276.2630802,1.449825883
10,63,2020,3.147855082,"European Region",3,100,100,100,75.52664188,100,63.46660808,92.87598945,75,47.98578199,44.38539741,100,79.68397291,40.11278195,84.45584974,18,40201.68124,4906.239746,100,277.2753854,1.332154155
10,63,2021,3.541189966,"European Region",3,100,100,100,75.52664188,77.59795571,86.57732865,83.39630607,75,47.98578199,44.38539741,100,100,100,85.44966311,18,46896.86624,5738.484863,99.99999864,277.0482867,1.239673018
