Location,Year,Predicted_Value,Lower_CI_95,Upper_CI_95
Belarus,2019,22.41929476421747,21.828379725237912,23.010209803197025
Belarus,2020,23.217708285530684,21.98316987406822,24.452246696993146
Belarus,2021,24.016121806843906,22.373261619408495,25.658981994279316
Belgium,2019,26.3,23.753279382780565,28.846720617219436
Belgium,2020,26.3,22.698393163553096,29.901606836446906
Belgium,2021,26.3,21.888950498292772,30.71104950170723
Belize,2019,8.888888888885743,8.638339815763437,9.13943796200805
Belize,2020,9.077777777771487,8.723447880521913,9.432107675021062
Belize,2021,9.266666666657233,8.83270294222011,9.700630391094357
Benin,2019,10.600000000000007,10.062185172597509,11.137814827402504
Benin,2020,10.800000000000011,9.59740948662071,12.002590513379312
Benin,2021,11.000000000000016,8.98768117833291,13.012318821667122
Bermuda,2019,19.356220564145676,16.97708191687305,21.735359211418302
Bermuda,2020,19.356220564145676,16.760347910821057,21.952093217470296
Bermuda,2021,19.356220564145676,16.56036488804024,22.152076240251112
Bhutan,2019,20.29999999999653,19.318853548251667,21.281146451741392
Bhutan,2020,20.79999999999306,19.412449381261236,22.18755061872488
Bhutan,2021,21.299999999989588,19.600604495901564,22.99939550407761
Bolivia,2019,19.955555555553726,19.302982931877114,20.608128179230338
Bolivia,2020,20.411111111107452,19.488234056270592,21.333988165944312
Bolivia,2021,20.866666666661178,19.736377726824763,21.996955606497593
Bosnia and Herzegovina,2019,17.670268240427163,16.661956371710062,18.678580109144264
Bosnia and Herzegovina,2020,17.524688128063644,15.829607297879047,19.219768958248242
Bosnia and Herzegovina,2021,17.324522309383042,14.59366765882581,20.055376959940276
Botswana,2019,10.161111111110607,9.488374237479897,10.833847984741316
Botswana,2020,10.322222222221216,9.37082861162419,11.27361583281824
Botswana,2021,10.483333333331824,9.318118888078391,11.648547778585257
Brazil,2019,14.863392818810889,13.345738822445986,16.381046815175793
Brazil,2020,14.770085209048714,11.798966006935554,17.741204411161874
Brazil,2021,14.706352761283192,10.293846375339397,19.118859147226985
Brunei,2019,17.6,14.735046861352314,20.464953138647687
Brunei,2020,17.6,13.548344415761076,21.651655584238927
Brunei,2021,17.6,12.637755602558286,22.562244397441717
Bulgaria,2019,24.599999999999998,23.869717533936893,25.330282466063103
Bulgaria,2020,25.199999999999996,23.567038763106712,26.83296123689328
Bulgaria,2021,25.799999999999994,23.06753321642349,28.532466783576496
Burkina Faso,2019,11.226912169839405,10.186599381960978,12.267224957717833
Burkina Faso,2020,11.653824339678811,9.904428996372825,13.403219682984798
Burkina Faso,2021,12.080736509518218,9.5902487100451,14.571224308991335
Burundi,2019,5.3888888888888244,5.138345715706014,5.639432062071635
Burundi,2020,5.477777777777649,5.123456224302527,5.832099331252771
Burundi,2021,5.566666666666474,5.132713161224317,6.00062017210863
Cambodia,2019,5.699999999999999,5.129560819322415,6.270439180677584
Cambodia,2020,5.799999999999999,4.524459214975636,7.075540785024362
Cambodia,2021,5.899999999999999,3.7656120259124406,8.034387974087556
Cameroon,2019,10.299999999999999,9.79022578795699,10.809774212043008
Cameroon,2020,10.299999999999999,9.16011020869544,11.439889791304559
Cameroon,2021,10.299999999999999,8.392599553922409,12.207400446077589
Canada,2019,17.89304642311467,16.013238973276376,19.77285387295296
Canada,2020,18.196351679954702,15.989335357212298,20.403368002697107
Canada,2021,18.382934676025656,16.064104550606647,20.701764801444664
Cape Verde,2019,14.553063908802544,13.424372594362664,15.681755223242424
Cape Verde,2020,15.106127817605088,13.280211464418354,16.932044170791823
Cape Verde,2021,15.659191726407633,13.135688856997195,18.18269459581807
Central African Republic,2019,5.850000000000057,5.63476684865285,6.065233151347265
Central African Republic,2020,6.000000000000115,5.695614358292593,6.304385641707636
Central African Republic,2021,6.150000000000173,5.777205246393648,6.522794753606697
"Central Europe, Eastern Europe, and Central Asia",2019,14.110526315789526,10.01649211618485,18.204560515394203
