id,year,domain,value
32,2020,1 Policy design,48.92162417
32,2021,1 Policy design,48.9782814
32,2022,1 Policy design,51.79288637
33,2017,1 Policy design,7.000314762
33,2018,1 Policy design,7.000314762
33,2019,1 Policy design,57.51967265
33,2020,1 Policy design,60.1948379
33,2021,1 Policy design,74.01951527
33,2022,1 Policy design,63.12275732
34,2017,1 Policy design,2.277305634
34,2018,1 Policy design,2.447277306
34,2019,1 Policy design,2.447277306
34,2020,1 Policy design,2.447277306
34,2021,1 Policy design,2.447277306
34,2022,1 Policy design,74.77683349
35,2017,1 Policy design,4.403525338
35,2018,1 Policy design,2.333962858
35,2019,1 Policy design,7.192005036
35,2020,1 Policy design,11.80169972
35,2021,1 Policy design,15.94082468
35,2022,1 Policy design,11.91501416
36,2017,1 Policy design,16.04532578
36,2018,1 Policy design,2.333962858
36,2019,1 Policy design,11.91501416
36,2020,1 Policy design,91.05949008
36,2021,1 Policy design,86.8637079
36,2022,1 Policy design,86.92036512
37,2017,1 Policy design,4.403525338
37,2018,1 Policy design,4.403525338
37,2019,1 Policy design,4.290210891
37,2020,1 Policy design,4.290210891
37,2021,1 Policy design,4.403525338
37,2022,1 Policy design,75.18696884
38,2017,1 Policy design,9.126534466
38,2018,1 Policy design,2.390620082
38,2019,1 Policy design,2.390620082
38,2020,1 Policy design,2.390620082
38,2021,1 Policy design,2.390620082
38,2022,1 Policy design,2.390620082
39,2017,1 Policy design,53.7082153
39,2018,1 Policy design,53.7082153
39,2019,1 Policy design,55.89109223
39,2020,1 Policy design,49.09852062
39,2021,1 Policy design,45.54327982
39,2022,1 Policy design,84.85080264
40,2017,1 Policy design,74.10481586
40,2018,1 Policy design,74.16147309
40,2019,1 Policy design,79.01951527
40,2020,1 Policy design,93.73465534
40,2021,1 Policy design,97.8737803
40,2022,1 Policy design,97.8737803
41,2017,1 Policy design,2.447277306
41,2018,1 Policy design,9.18319169
41,2019,1 Policy design,9.18319169
41,2020,1 Policy design,9.126534466
41,2021,1 Policy design,5.122442556
41,2022,1 Policy design,5.122442556
42,2017,1 Policy design,14.03242052
42,2018,1 Policy design,14.03242052
42,2019,1 Policy design,72.92445703
42,2020,1 Policy design,86.70129053
42,2021,1 Policy design,73.62165565
42,2022,1 Policy design,79.77368587
43,2017,1 Policy design,57.94334278
43,2018,1 Policy design,58
43,2019,1 Policy design,58
43,2020,1 Policy design,46.85048788
43,2021,1 Policy design,55.05036198
43,2022,1 Policy design,44.83758263
44,2017,1 Policy design,0
44,2018,1 Policy design,0.264400378
