id,year,subdomain,value,WHO_Region
72,2019,2.5 Public awareness,3.495260664,European Region
72,2020,2.5 Public awareness,0,European Region
72,2021,2.5 Public awareness,6.990521327,European Region
72,2022,2.5 Public awareness,3.495260664,European Region
73,2017,2.5 Public awareness,45.97156398,South-East Asia Region
73,2018,2.5 Public awareness,47.98578199,South-East Asia Region
73,2019,2.5 Public awareness,63.98104265,South-East Asia Region
73,2020,2.5 Public awareness,63.98104265,South-East Asia Region
73,2021,2.5 Public awareness,63.98104265,South-East Asia Region
73,2022,2.5 Public awareness,63.98104265,South-East Asia Region
74,2017,2.5 Public awareness,11.492891,African Region
74,2018,2.5 Public awareness,11.492891,African Region
74,2019,2.5 Public awareness,12.5,African Region
74,2020,2.5 Public awareness,25,African Region
74,2021,2.5 Public awareness,6.990521327,African Region
74,2022,2.5 Public awareness,6.990521327,African Region
75,2017,2.5 Public awareness,38.98104265,Western Pacific Region
75,2018,2.5 Public awareness,38.98104265,Western Pacific Region
75,2019,2.5 Public awareness,38.98104265,Western Pacific Region
75,2020,2.5 Public awareness,38.98104265,Western Pacific Region
75,2021,2.5 Public awareness,11.492891,Western Pacific Region
75,2022,2.5 Public awareness,13.98104265,Western Pacific Region
76,2017,2.5 Public awareness,13.98104265,African Region
76,2018,2.5 Public awareness,13.98104265,African Region
76,2019,2.5 Public awareness,13.98104265,African Region
76,2020,2.5 Public awareness,15.99526066,African Region
76,2021,2.5 Public awareness,25,African Region
76,2022,2.5 Public awareness,25,African Region
77,2017,2.5 Public awareness,31.99052133,Western Pacific Region
77,2018,2.5 Public awareness,31.99052133,Western Pacific Region
77,2019,2.5 Public awareness,22.98578199,Western Pacific Region
77,2020,2.5 Public awareness,22.98578199,Western Pacific Region
77,2021,2.5 Public awareness,22.98578199,Western Pacific Region
77,2022,2.5 Public awareness,31.99052133,Western Pacific Region
78,2017,2.5 Public awareness,6.990521327,Region of the Americas
78,2018,2.5 Public awareness,6.990521327,Region of the Americas
78,2019,2.5 Public awareness,20.49763033,Region of the Americas
78,2020,2.5 Public awareness,15.99526066,Region of the Americas
78,2021,2.5 Public awareness,15.99526066,Region of the Americas
78,2022,2.5 Public awareness,47.98578199,Region of the Americas
79,2017,2.5 Public awareness,25,Region of the Americas
79,2018,2.5 Public awareness,25,Region of the Americas
79,2019,2.5 Public awareness,25,Region of the Americas
79,2020,2.5 Public awareness,25,Region of the Americas
79,2021,2.5 Public awareness,25,Region of the Americas
79,2022,2.5 Public awareness,12.5,Region of the Americas
80,2017,2.5 Public awareness,0,Eastern Mediterranean Region
80,2018,2.5 Public awareness,0,Eastern Mediterranean Region
80,2019,2.5 Public awareness,0,Eastern Mediterranean Region
80,2020,2.5 Public awareness,13.98104265,Eastern Mediterranean Region
80,2021,2.5 Public awareness,7.997630332,Eastern Mediterranean Region
80,2022,2.5 Public awareness,31.99052133,Eastern Mediterranean Region
81,2017,2.5 Public awareness,13.98104265,Region of the Americas
81,2018,2.5 Public awareness,13.98104265,Region of the Americas
81,2019,2.5 Public awareness,22.98578199,Region of the Americas
81,2020,2.5 Public awareness,22.98578199,Region of the Americas
81,2021,2.5 Public awareness,22.98578199,Region of the Americas
81,2022,2.5 Public awareness,22.98578199,Region of the Americas
82,2017,2.5 Public awareness,13.98104265,European Region
82,2018,2.5 Public awareness,20.97156398,European Region
82,2019,2.5 Public awareness,6.990521327,European Region
82,2020,2.5 Public awareness,13.98104265,European Region
82,2021,2.5 Public awareness,22.98578199,European Region
82,2022,2.5 Public awareness,11.492891,European Region
83,2017,2.5 Public awareness,20.97156398,Western Pacific Region
83,2018,2.5 Public awareness,45.97156398,Western Pacific Region
83,2019,2.5 Public awareness,63.98104265,Western Pacific Region
83,2020,2.5 Public awareness,63.98104265,Western Pacific Region
83,2021,2.5 Public awareness,63.98104265,Western Pacific Region
83,2022,2.5 Public awareness,63.98104265,Western Pacific Region
84,2017,2.5 Public awareness,31.99052133,European Region
84,2018,2.5 Public awareness,22.98578199,European Region
84,2019,2.5 Public awareness,22.98578199,European Region
84,2020,2.5 Public awareness,47.98578199,European Region
84,2021,2.5 Public awareness,22.98578199,European Region
84,2022,2.5 Public awareness,22.98578199,European Region
85,2017,2.5 Public awareness,47.98578199,Western Pacific Region
85,2018,2.5 Public awareness,81.99052133,Western Pacific Region
85,2019,2.5 Public awareness,81.99052133,Western Pacific Region
85,2020,2.5 Public awareness,61.492891,Western Pacific Region
85,2021,2.5 Public awareness,47.98578199,Western Pacific Region
85,2022,2.5 Public awareness,47.98578199,Western Pacific Region
86,2017,2.5 Public awareness,34.47867299,African Region
86,2018,2.5 Public awareness,34.47867299,African Region
86,2019,2.5 Public awareness,34.47867299,African Region
86,2020,2.5 Public awareness,61.492891,African Region
86,2021,2.5 Public awareness,34.47867299,African Region
86,2022,2.5 Public awareness,47.98578199,African Region
87,2017,2.5 Public awareness,31.99052133,Region of the Americas
87,2018,2.5 Public awareness,31.99052133,Region of the Americas
87,2019,2.5 Public awareness,31.99052133,Region of the Americas
87,2020,2.5 Public awareness,31.99052133,Region of the Americas
87,2021,2.5 Public awareness,31.99052133,Region of the Americas
87,2022,2.5 Public awareness,31.99052133,Region of the Americas
88,2017,2.5 Public awareness,6.990521327,Region of the Americas
88,2018,2.5 Public awareness,6.990521327,Region of the Americas
88,2019,2.5 Public awareness,6.990521327,Region of the Americas
88,2020,2.5 Public awareness,20.97156398,Region of the Americas
88,2021,2.5 Public awareness,6.990521327,Region of the Americas
88,2022,2.5 Public awareness,15.99526066,Region of the Americas
89,2017,2.5 Public awareness,13.98104265,Region of the Americas
89,2018,2.5 Public awareness,13.98104265,Region of the Americas
89,2019,2.5 Public awareness,13.98104265,Region of the Americas
89,2020,2.5 Public awareness,13.98104265,Region of the Americas
89,2021,2.5 Public awareness,13.98104265,Region of the Americas
89,2022,2.5 Public awareness,6.990521327,Region of the Americas
90,2017,2.5 Public awareness,13.98104265,European Region
90,2018,2.5 Public awareness,13.98104265,European Region
90,2019,2.5 Public awareness,31.99052133,European Region
90,2020,2.5 Public awareness,34.47867299,European Region
90,2021,2.5 Public awareness,22.98578199,European Region
90,2022,2.5 Public awareness,47.98578199,European Region
91,2017,2.5 Public awareness,20.97156398,African Region
91,2018,2.5 Public awareness,20.97156398,African Region
91,2019,2.5 Public awareness,20.97156398,African Region
91,2020,2.5 Public awareness,15.99526066,African Region
91,2021,2.5 Public awareness,31.99052133,African Region
91,2022,2.5 Public awareness,47.98578199,African Region
92,2017,2.5 Public awareness,22.98578199,African Region
92,2018,2.5 Public awareness,22.98578199,African Region
92,2019,2.5 Public awareness,25,African Region
92,2020,2.5 Public awareness,40.99526066,African Region
92,2021,2.5 Public awareness,31.99052133,African Region
92,2022,2.5 Public awareness,47.98578199,African Region
93,2017,2.5 Public awareness,20.97156398,Western Pacific Region
93,2018,2.5 Public awareness,11.492891,Western Pacific Region
93,2019,2.5 Public awareness,63.98104265,Western Pacific Region
93,2020,2.5 Public awareness,100,Western Pacific Region
93,2021,2.5 Public awareness,63.98104265,Western Pacific Region
93,2022,2.5 Public awareness,81.99052133,Western Pacific Region
94,2017,2.5 Public awareness,45.97156398,European Region
94,2018,2.5 Public awareness,63.98104265,European Region
94,2019,2.5 Public awareness,63.98104265,European Region
94,2020,2.5 Public awareness,63.98104265,European Region
94,2021,2.5 Public awareness,81.99052133,European Region
94,2022,2.5 Public awareness,81.99052133,European Region
95,2017,2.5 Public awareness,34.47867299,Eastern Mediterranean Region
95,2018,2.5 Public awareness,34.47867299,Eastern Mediterranean Region
95,2019,2.5 Public awareness,20.97156398,Eastern Mediterranean Region
95,2020,2.5 Public awareness,20.97156398,Eastern Mediterranean Region
95,2021,2.5 Public awareness,20.97156398,Eastern Mediterranean Region
95,2022,2.5 Public awareness,47.98578199,Eastern Mediterranean Region
96,2017,2.5 Public awareness,40.99526066,European Region
96,2018,2.5 Public awareness,61.492891,European Region
96,2019,2.5 Public awareness,22.98578199,European Region
96,2020,2.5 Public awareness,13.98104265,European Region
96,2021,2.5 Public awareness,22.98578199,European Region
96,2022,2.5 Public awareness,20.97156398,European Region
97,2017,2.5 Public awareness,81.99052133,European Region
97,2018,2.5 Public awareness,47.98578199,European Region
97,2019,2.5 Public awareness,47.98578199,European Region
97,2020,2.5 Public awareness,47.98578199,European Region
97,2021,2.5 Public awareness,47.98578199,European Region
97,2022,2.5 Public awareness,34.47867299,European Region
98,2017,2.5 Public awareness,45.97156398,European Region
98,2018,2.5 Public awareness,20.97156398,European Region
98,2019,2.5 Public awareness,34.47867299,European Region
98,2020,2.5 Public awareness,47.98578199,European Region
98,2021,2.5 Public awareness,47.98578199,European Region
98,2022,2.5 Public awareness,47.98578199,European Region
99,2017,2.5 Public awareness,13.98104265,South-East Asia Region
99,2018,2.5 Public awareness,13.98104265,South-East Asia Region
99,2019,2.5 Public awareness,13.98104265,South-East Asia Region
99,2020,2.5 Public awareness,13.98104265,South-East Asia Region
99,2021,2.5 Public awareness,22.98578199,South-East Asia Region
99,2022,2.5 Public awareness,22.98578199,South-East Asia Region
100,2017,2.5 Public awareness,27.48815166,European Region
100,2018,2.5 Public awareness,34.47867299,European Region
100,2019,2.5 Public awareness,12.5,European Region
100,2020,2.5 Public awareness,31.99052133,European Region
100,2021,2.5 Public awareness,22.98578199,European Region
100,2022,2.5 Public awareness,25,European Region
101,2017,2.5 Public awareness,20.97156398,South-East Asia Region
101,2018,2.5 Public awareness,47.98578199,South-East Asia Region
101,2019,2.5 Public awareness,47.98578199,South-East Asia Region
101,2020,2.5 Public awareness,22.98578199,South-East Asia Region
101,2021,2.5 Public awareness,22.98578199,South-East Asia Region
101,2022,2.5 Public awareness,34.47867299,South-East Asia Region
102,2017,2.5 Public awareness,6.990521327,African Region
102,2018,2.5 Public awareness,0,African Region
102,2019,2.5 Public awareness,0,African Region
102,2020,2.5 Public awareness,31.99052133,African Region
102,2021,2.5 Public awareness,15.99526066,African Region
102,2022,2.5 Public awareness,15.99526066,African Region
103,2017,2.5 Public awareness,13.98104265,Western Pacific Region
103,2018,2.5 Public awareness,3.495260664,Western Pacific Region
103,2019,2.5 Public awareness,3.495260664,Western Pacific Region
103,2020,2.5 Public awareness,13.98104265,Western Pacific Region
103,2021,2.5 Public awareness,13.98104265,Western Pacific Region
103,2022,2.5 Public awareness,6.990521327,Western Pacific Region
104,2017,2.5 Public awareness,50,African Region
104,2018,2.5 Public awareness,25,African Region
104,2019,2.5 Public awareness,25,African Region
104,2020,2.5 Public awareness,50,African Region
104,2021,2.5 Public awareness,25,African Region
104,2022,2.5 Public awareness,100,African Region
105,2017,2.5 Public awareness,7.997630332,Region of the Americas
105,2018,2.5 Public awareness,7.997630332,Region of the Americas
105,2019,2.5 Public awareness,7.997630332,Region of the Americas
105,2020,2.5 Public awareness,7.997630332,Region of the Americas
105,2021,2.5 Public awareness,12.5,Region of the Americas
105,2022,2.5 Public awareness,7.997630332,Region of the Americas
106,2017,2.5 Public awareness,63.98104265,European Region
106,2018,2.5 Public awareness,81.99052133,European Region
106,2019,2.5 Public awareness,81.99052133,European Region
106,2020,2.5 Public awareness,81.99052133,European Region
106,2021,2.5 Public awareness,81.99052133,European Region
106,2022,2.5 Public awareness,81.99052133,European Region
107,2017,2.5 Public awareness,34.47867299,European Region
107,2018,2.5 Public awareness,34.47867299,European Region
107,2019,2.5 Public awareness,34.47867299,European Region
107,2020,2.5 Public awareness,34.47867299,European Region
107,2021,2.5 Public awareness,47.98578199,European Region
107,2022,2.5 Public awareness,47.98578199,European Region
108,2017,2.5 Public awareness,31.99052133,Region of the Americas
108,2018,2.5 Public awareness,31.99052133,Region of the Americas
108,2019,2.5 Public awareness,31.99052133,Region of the Americas
108,2020,2.5 Public awareness,31.99052133,Region of the Americas
108,2021,2.5 Public awareness,31.99052133,Region of the Americas
108,2022,2.5 Public awareness,31.99052133,Region of the Americas
109,2017,2.5 Public awareness,77.01421801,European Region
109,2018,2.5 Public awareness,34.47867299,European Region
109,2019,2.5 Public awareness,34.47867299,European Region
109,2020,2.5 Public awareness,34.47867299,European Region
109,2021,2.5 Public awareness,34.47867299,European Region
109,2022,2.5 Public awareness,34.47867299,European Region
110,2017,2.5 Public awareness,40.99526066,Region of the Americas
110,2018,2.5 Public awareness,34.00473934,Region of the Americas
110,2019,2.5 Public awareness,34.00473934,Region of the Americas
110,2020,2.5 Public awareness,0,Region of the Americas
110,2021,2.5 Public awareness,15.99526066,Region of the Americas
110,2022,2.5 Public awareness,25,Region of the Americas
111,2017,2.5 Public awareness,3.495260664,Eastern Mediterranean Region
111,2018,2.5 Public awareness,3.495260664,Eastern Mediterranean Region
111,2019,2.5 Public awareness,3.495260664,Eastern Mediterranean Region
111,2020,2.5 Public awareness,13.98104265,Eastern Mediterranean Region
