"Country_class","ISO3","Country","Year","AMR","traj_class","WHO_Region","Income","Strategic_vision","Multi_sector_engagement","Sustainability","Accountability","AMC_surveillance_system","AMR_surveillance_system","Optimization_antimicrobial","Professional_education","Public_awareness","Hygiene_prevention","Research_innovation","Reporting","Policy_adjustment","Effectiveness"
21,570,570,2018,-0.628856383,3,"Region of the Americas","UM",10.23466981,8.037897311,1.193181818,0,13.88415673,10.72056239,13.12664908,33.02139037,13.98104265,29.34408503,0,0,50.18796992,9.789257269
21,570,570,2019,0.337038746,3,"Region of the Americas","UM",10.23466981,8.037897311,1.193181818,0,13.88415673,10.72056239,13.12664908,33.02139037,13.98104265,29.34408503,0,0,50.18796992,9.789257269
21,570,570,2020,0.814629336,3,"Region of the Americas","UM",0,8.037897311,32.10227273,0,27.42759796,58.28207381,34.49868074,16.04278075,15.99526066,14.26728281,0,0,76.80451128,16.65130568
21,570,570,2021,1.248075815,3,"Region of the Americas","UM",0,8.037897311,32.10227273,0,13.88415673,25.52724077,13.12664908,0,15.99526066,22.86247689,0,29.68397291,0,2.279173543
22,512,512,2017,1.192465537,3,"Region of the Americas","H",0,8.037897311,1.704545455,0,0,5.360281195,28.49604222,25,31.99052133,37.80009242,0,0,0,3.029953917
22,512,512,2018,0.66718934,3,"Region of the Americas","H",0,8.037897311,1.704545455,0,0,5.360281195,28.49604222,25,31.99052133,37.80009242,0,0,0,3.029953917
22,512,512,2019,1.155781593,3,"Region of the Americas","H",0,8.037897311,1.704545455,0,0,5.360281195,28.49604222,25,31.99052133,37.80009242,0,0,0,3.029953917
22,512,512,2020,1.266298665,3,"Region of the Americas","H",0,8.037897311,1.704545455,0,0,5.360281195,28.49604222,25,31.99052133,37.80009242,0,0,0,3.029953917
22,512,512,2021,1.613367008,3,"Region of the Americas","H",0,8.037897311,1.704545455,0,0,5.360281195,28.49604222,25,31.99052133,37.80009242,0,0,0,3.029953917
24,395,395,2017,3.018664669,3,"Region of the Americas","UM",0,8.037897311,32.10227273,0,86.11584327,14.80667838,76.25329815,33.02139037,13.98104265,19.98641405,57.94066318,50,0,7.484391298
24,395,395,2018,4.824686866,3,"Region of the Americas","UM",38.17334906,75.88630807,100,100,93.05792164,12.10456942,59.49868074,33.02139037,13.98104265,69.8818854,100,79.68397291,0,15.67400011
24,395,395,2019,5.259540473,3,"Region of the Americas","UM",38.17334906,75.88630807,100,100,86.11584327,12.12653779,59.49868074,50,22.98578199,67.27125693,100,79.68397291,0,13.69867677
