"Country","Country_class","Year","AMR","traj_class","WHO_Region","Income","Strategic_vision","Multi_sector_engagement","Sustainability","Accountability","AMC_surveillance_system","AMR_surveillance_system","Optimization_antimicrobial","Professional_education","Public_awareness","Hygiene_prevention","Research_innovation","Reporting","Policy_adjustment","Effectiveness"
473,45,2019,5.582316282,2,"European Region","H",55.27240566,58.03789731,69.34659091,75.52664188,86.11584327,45.73813708,47.75725594,50,15.99526066,45.01487985,100,79.68397291,53.60902256,30.19049042
473,45,2020,6.554927846,2,"European Region","H",44.72759434,41.96210269,31.98863636,75.52664188,86.11584327,44.39806678,46.50395778,50,22.98578199,45.01487985,100,79.68397291,53.60902256,30.19049042
473,45,2021,6.992134099,2,"European Region","H",55.27240566,41.96210269,31.98863636,75.52664188,100,45.73813708,40.63324538,50,22.98578199,45.01487985,100,79.68397291,53.60902256,41.87251806
32,46,2017,5.614712553,2,"European Region","H",54.97759434,100,69.09090909,100,93.05792164,51.09841828,56.00263852,91.97860963,81.99052133,46.40711645,100,79.68397291,26.9924812,72.90367194
32,46,2018,5.913622095,2,"European Region","H",54.97759434,100,69.60227273,100,93.05792164,48.41827768,64.37994723,91.97860963,47.98578199,45.63308688,100,79.68397291,26.9924812,71.38869498
32,46,2019,6.576937896,2,"European Region","H",54.97759434,100,69.60227273,100,93.05792164,45.73813708,73.87862797,91.97860963,47.98578199,61.28669131,100,79.68397291,53.60902256,78.54944364
32,46,2020,7.137896368,2,"European Region","H",54.97759434,100,69.60227273,100,93.05792164,45.73813708,87.46174142,91.97860963,47.98578199,75.19020333,100,79.68397291,53.60902256,81.69362614
32,46,2021,8.07851911,2,"European Region","H",54.97759434,100,62.64204545,100,70.65587734,44.39806678,87.46174142,91.97860963,47.98578199,32.70563771,100,100,53.60902256,74.54373993
252,52,2017,2.62888161,2,"Region of the Americas","UM",0,8.037897311,1.193181818,0,0,16.08084359,13.12664908,25,22.98578199,51.45591497,0,29.68397291,100,14.82481036
252,52,2018,5.704145315,2,"Region of the Americas","UM",0,8.037897311,1.704545455,0,79.17376491,29.56942004,35.75197889,33.02139037,22.98578199,65.72319778,0,29.68397291,100,14.82481036
252,52,2019,7.98434238,2,"Region of the Americas","UM",89.76533019,100,54.33238636,100,41.31175468,36.31370826,35.75197889,33.02139037,31.99052133,68.81931608,42.05933682,59.36794582,100,14.82481036
252,52,2020,9.593050315,2,"Region of the Americas","UM",89.76533019,75.88630807,84.73011364,100,27.42759796,28.27328647,31.00263852,50,31.99052133,17.88354898,42.05933682,59.36794582,100,17.79448498
252,52,2021,10.98414586,2,"Region of the Americas","UM",89.76533019,75.88630807,84.73011364,100,27.42759796,28.27328647,31.00263852,50,31.99052133,17.88354898,42.05933682,59.36794582,100,17.79448498
399,55,2017,7.612051635,2,"European Region","H",72.37146226,83.92420538,69.34659091,75.52664188,55.19591141,40.33391916,82.12401055,75,45.97156398,51.85998152,100,59.36794582,53.60902256,69.25687547
399,55,2018,10.4422097,2,"European Region","H",72.37146226,100,69.09090909,75.52664188,55.19591141,43.03602812,83.37730871,100,63.98104265,50.94704251,100,59.36794582,53.60902256,78.9165306
399,55,2019,12.94851282,2,"European Region","H",82.60613208,100,99.74431818,75.52664188,77.59795571,40.37785589,64.37994723,100,63.98104265,93.77310536,100,59.36794582,53.60902256,72.06221198
399,55,2020,13.9444378,2,"European Region","H",82.60613208,91.96210269,99.48863636,75.52664188,100,48.41827768,52.37467018,83.02139037,63.98104265,45.15942699,100,59.36794582,53.60902256,72.52828176
399,55,2021,15.13649887,2,"European Region","H",82.60613208,91.96210269,99.74431818,75.52664188,100,47.07820738,74.33509235,83.02139037,81.99052133,45.15942699,100,59.36794582,53.60902256,82.2695836
189,70,2017,6.311451784,2,"European Region","H",68.98584906,40.18948655,30.53977273,100,77.59795571,47.07820738,65.50131926,100,27.96208531,40.86182994,78.97033159,59.36794582,53.60902256,62.69533245
189,70,2018,6.813388204,2,"European Region","H",79.22051887,40.18948655,31.98863636,100,77.59795571,47.07820738,73.87862797,100,20.97156398,40.86182994,78.97033159,79.68397291,53.60902256,62.69533245
189,70,2019,9.368944994,2,"European Region","H",79.22051887,100,31.98863636,100,77.59795571,47.07820738,73.87862797,100,20.97156398,66.01469501,100,79.68397291,53.60902256,64.16198062
189,70,2020,10.77539669,2,"European Region","H",79.22051887,100,62.38636364,100,77.59795571,45.73813708,73.87862797,83.02139037,20.97156398,44.38539741,100,79.68397291,53.60902256,62.69533245
189,70,2021,12.18159434,2,"European Region","H",89.76533019,100,31.98863636,100,77.59795571,26.9112478,72.62532982,83.02139037,34.47867299,42.31719039,100,79.68397291,0,62.69533245
270,79,2017,6.66788521,2,"South-East Asia Region","LM",89.76533019,83.92420538,69.34659091,100,0,29.56942004,40.27387863,66.97860963,22.98578199,29.81774492,100,50,13.4962406,20.47965608
270,79,2018,7.529415937,2,"South-East Asia Region","LM",89.76533019,83.92420538,99.74431818,100,6.942078365,29.56942004,40.27387863,66.97860963,22.98578199,25.52014787,100,79.68397291,13.4962406,20.47965608
270,79,2019,8.936305233,2,"South-East Asia Region","LM",89.76533019,83.92420538,99.74431818,100,6.942078365,34.97363796,48.65118734,50,22.98578199,52.07948244,100,79.68397291,13.4962406,15.55933502
270,79,2020,9.12320175,2,"South-East Asia Region","LM",89.76533019,83.92420538,99.74431818,100,6.942078365,32.29349736,48.65118734,66.97860963,22.98578199,21.81737523,100,79.68397291,40.11278195,18.93209725
270,79,2021,11.92972638,2,"South-East Asia Region","LM",89.76533019,83.92420538,62.64204545,100,51.74616695,32.29349736,33.14986807,50,31.99052133,12.21146026,100,79.68397291,40.11278195,16.11101382
101,84,2017,3.607288612,2,"European Region","H",10.23466981,8.037897311,0.9375,0,55.19591141,16.10281195,58.37730871,58.02139037,13.98104265,40.51524954,57.94066318,0,40.11278195,35.48288009
101,84,2018,6.437069853,2,"European Region","H",0,8.037897311,0.9375,0,55.19591141,18.78295255,50,58.02139037,13.98104265,40.51524954,57.94066318,0,40.11278195,35.48288009
101,84,2019,7.137573674,2,"European Region","H",0,8.037897311,0.9375,0,55.19591141,28.22934974,57.12401055,58.02139037,13.98104265,41.28927911,57.94066318,0,40.11278195,35.48288009
101,84,2020,7.889874445,2,"European Region","H",0,8.037897311,0.9375,0,55.19591141,26.88927944,57.12401055,58.02139037,22.98578199,42.06330869,57.94066318,0,40.11278195,35.48288009
